"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","216","POST /users - create a new user (mocked)","chromium","Thu Dec 04 23:03:00 MSK 2025","passed","Thu Dec 04 23:03:01 MSK 2025","User API","","",""
"","3003","POST /users - create a new user","chromium","Thu Dec 04 23:02:53 MSK 2025","passed","Thu Dec 04 23:02:56 MSK 2025","User API","","",""
"","9241","successful authorization","chromium","Thu Dec 04 23:24:46 MSK 2025","passed","Thu Dec 04 23:24:56 MSK 2025","Tests for user ""standard""","","",""
"","19961","add and remove product test","webkit","Thu Dec 04 23:04:36 MSK 2025","passed","Thu Dec 04 23:04:56 MSK 2025","Add product to container","","",""
"","47691","add and remove product test","firefox","Thu Dec 04 23:03:32 MSK 2025","passed","Thu Dec 04 23:04:20 MSK 2025","Add product to container","","",""
"","4241","container page checks","webkit","Thu Dec 04 23:05:10 MSK 2025","passed","Thu Dec 04 23:05:14 MSK 2025","Positive scenarios for menu items","","",""
"","27063","container page checks","firefox","Thu Dec 04 23:03:30 MSK 2025","passed","Thu Dec 04 23:03:57 MSK 2025","Positive scenarios for menu items","","",""
"","8912","negative authorization test","firefox","Thu Dec 04 23:25:15 MSK 2025","failed","Thu Dec 04 23:25:24 MSK 2025","Tests for user ""wrong""","","",""
"","1480","GET /users/1 - get user by ID","chromium","Thu Dec 04 23:03:00 MSK 2025","passed","Thu Dec 04 23:03:02 MSK 2025","User API","","",""
"","10660","menu items check","webkit","Thu Dec 04 23:04:52 MSK 2025","passed","Thu Dec 04 23:05:03 MSK 2025","Positive scenarios for menu items","","",""
"","3","GET /users/1 - get user by ID","firefox","Thu Dec 04 23:03:30 MSK 2025","skipped","Thu Dec 04 23:03:30 MSK 2025","User API","","",""
"","13740","container page checks","chromium","Thu Dec 04 23:03:01 MSK 2025","passed","Thu Dec 04 23:03:15 MSK 2025","Positive scenarios for menu items","","",""
"","6614","successful authorization","webkit","Thu Dec 04 23:24:46 MSK 2025","passed","Thu Dec 04 23:24:53 MSK 2025","Tests for user ""standard""","","",""
"","6264","negative authorization test","firefox","Thu Dec 04 23:25:09 MSK 2025","passed","Thu Dec 04 23:25:15 MSK 2025","Tests for user ""locked""","","",""
"","10624","Переход на страницу авторизации","chromium","Sat Nov 22 22:16:47 MSK 2025","passed","Sat Nov 22 22:16:58 MSK 2025","","","",""
"","5","POST /users - create a new user","webkit","Thu Dec 04 23:04:35 MSK 2025","skipped","Thu Dec 04 23:04:35 MSK 2025","User API","","",""
"","23762","add and remove product test","chromium","Thu Dec 04 23:02:53 MSK 2025","passed","Thu Dec 04 23:03:17 MSK 2025","Add product to container","","",""
"","11681","negative authorization test","webkit","Thu Dec 04 23:25:00 MSK 2025","failed","Thu Dec 04 23:25:11 MSK 2025","Tests for user ""wrong""","","",""
"","9668","negative authorization test","chromium","Thu Dec 04 23:25:00 MSK 2025","failed","Thu Dec 04 23:25:10 MSK 2025","Tests for user ""wrong""","","",""
"","5811","negative authorization test","webkit","Thu Dec 04 23:24:54 MSK 2025","passed","Thu Dec 04 23:24:59 MSK 2025","Tests for user ""locked""","","",""
"","4","POST /users - create a new user (mocked)","webkit","Thu Dec 04 23:04:36 MSK 2025","skipped","Thu Dec 04 23:04:36 MSK 2025","User API","","",""
"","3709","negative authorization test","chromium","Thu Dec 04 23:24:57 MSK 2025","passed","Thu Dec 04 23:25:00 MSK 2025","Tests for user ""locked""","","",""
"","9108","successful authorization","mobile-chrome","Sat Nov 08 01:56:47 MSK 2025","passed","Sat Nov 08 01:56:56 MSK 2025","Tests for user ""standard""","","",""
"","13963","menu items check","chromium","Thu Dec 04 23:02:53 MSK 2025","passed","Thu Dec 04 23:03:07 MSK 2025","Positive scenarios for menu items","","",""
"","17413","successful authorization","firefox","Thu Dec 04 23:24:46 MSK 2025","passed","Thu Dec 04 23:25:04 MSK 2025","Tests for user ""standard""","","",""
"","7","POST /users - create a new user (mocked)","firefox","Thu Dec 04 23:03:30 MSK 2025","skipped","Thu Dec 04 23:03:30 MSK 2025","User API","","",""
"","34788","menu items check","firefox","Thu Dec 04 23:03:30 MSK 2025","passed","Thu Dec 04 23:04:05 MSK 2025","Positive scenarios for menu items","","",""
"","2","POST /users - create a new user","firefox","Thu Dec 04 23:03:30 MSK 2025","skipped","Thu Dec 04 23:03:30 MSK 2025","User API","","",""
"","259","GET /users/1 - get user by ID","webkit","Thu Dec 04 23:04:36 MSK 2025","skipped","Thu Dec 04 23:04:36 MSK 2025","User API","","",""
